datetime,register_no,emp_no,trans_no,upc,description,trans_type,trans_subtype,trans_status,department,quantity,Scale,cost,unitPrice,total,regPrice,altPrice,tax,taxexempt,foodstamp,wicable,discount,memDiscount,discountable,discounttype,voided,percentDiscount,ItemQtty,volDiscType,volume,VolSpecial,mixMatch,matched,memType,staff,numflag,itemstatus,tenderstatus,charflag,varflag,batchHeaderID,local,organic,display,receipt,card_no,store,branch,match_id,trans_id
2013-07-01T09:05:14Z,5,64,3,TAX,Tax,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,11763,1,0,0,12
2013-07-01T09:05:16Z,16,54,12,0,Change,T,CA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,24069,1,0,0,8
2013-07-01T09:05:16Z,16,54,12,DISCOUNT,Discount,I,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,0,0,0,,0,,0,,,0,24069,1,0,0,9
2013-07-01T09:05:16Z,16,54,12,TAX,Tax,A,,,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,24069,1,0,0,10
2013-07-01T09:05:20Z,4,17,2,0076333202748,Sport-Top Steel Bottle 27oz KK,I,,,9,1,0,9.1,18.19,18.19,18.19,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,,,0,0,0,,0,,0,0,,0,10959,1,0,0,1
2013-07-01T09:05:23Z,4,17,2,0020242700000,Cashew Chicken Salad,I,,,8,1.929946,0,3.88,12.99,25.07,12.99,0,1,0,1,0,0,0,7,0,0,4,1,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,10959,1,0,0,2
2013-07-01T09:05:24Z,4,17,2,0002250693451,O.Unref.Coconut Oil 14oz Spec,I,,,1,1,0,6.502,9.99,9.99,9.99,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,,,2,0,0,,0,,0,1,,0,10959,1,0,0,3
2013-07-01T09:05:26Z,4,17,2,0089899900050,Coconut Water 33.8oz VitaC,I,,,1,1,0,2.971,4.99,4.99,4.99,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,,,0,0,0,,0,,0,0,,0,10959,1,0,0,4
2013-07-01T09:05:33Z,4,17,2,0000000000051,BANANA Organic,I,,,2,2.7,1,0,1.19,3.21,1.19,0,0,0,1,0,0,0,1,0,0,4,2.7,0,0,0,0,0,,,4,0,0,,0,,0,1,,0,10959,1,0,0,5
2013-07-01T09:05:34Z,4,17,2,0000000000133,AVOCADO Hass Organic,I,,,2,2,0,0,1.29,2.58,1.29,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,,,0,0,0,,0,,0,1,,0,10959,1,0,0,6
2013-07-01T09:05:39Z,4,17,2,0000000000392,Kale Green Organic,I,,,2,1,0,0,2.39,2.39,2.39,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,,,1,0,0,,0,,0,1,,0,10959,1,0,0,7
2013-07-01T09:05:47Z,4,17,2,0000000015605,NUT BUTTER Almond,I,,,3,1.24,1,3.8,6.99,8.67,6.99,0,0,0,1,0,0,0,1,0,0,4,1.24,0,0,0,0,0,,,2,0,0,,0,,0,0,,0,10959,1,0,0,9
2013-07-01T09:05:51Z,16,54,14,0000000040424,CC Chai Latte 16oz,I,,,14,1,0,1.0715,3.49,3.49,3.49,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,5,0,0,,0,,0,0,,0,19392,1,0,0,1
2013-07-01T09:05:53Z,4,17,2,0000000000129,APPLES Pink Lady Organic,I,,,2,1.48,1,0,2.99,4.43,2.99,0,0,0,1,0,0,0,1,0,0,4,1.48,0,0,0,0,0,,,4,0,0,,0,,0,1,,0,10959,1,0,0,10
2013-07-01T09:06:14Z,16,54,14,0,Credit Card,T,CC,,0,0,0,0,0,-3.76,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,M,0,,0,,,0,19392,1,0,0,5
2013-07-01T09:06:20Z,16,54,14,0,Change,T,CA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,19392,1,0,0,6
